state,submission_date,submission_date,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death
CO,10,2020,2637084,2455842.0,181242.0,36814,2172.0,66956,55310.0,11646.0,234,35.0
CO,11,2020,5020974,4763620.0,257354.0,125555,3072.0,78492,65587.0,12905.0,752,84.0
CO,12,2020,9086576,8709299.0,377277.0,101192,3874.0,125307,107337.0,17970.0,1777,170.0
CT,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
CT,1,2021,6900960,6491581.0,409379.0,64315,4180.0,204066,165754.0,38312.0,1051,164.0
CT,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
CT,2,2021,7518722,7048223.0,470499.0,29923,3685.0,207285,169776.0,37509.0,576,63.0
CT,3,2020,14589,0.0,0.0,3128,0.0,282,0.0,0.0,69,0.0
CT,3,2021,9132906,8482310.0,650596.0,30942,4759.0,241425,198436.0,42989.0,264,41.0
CT,4,2020,466797,290335.0,9803.0,24572,1560.0,29684,18548.0,3563.0,2188,759.0
CT,4,2021,9813751,9030599.0,783152.0,28345,4310.0,239715,197118.0,42597.0,211,29.0
CT,5,2020,1124218,1073241.0,50977.0,14501,452.0,101073,80945.0,20128.0,1687,298.0
CT,5,2021,10686190,9791538.0,894652.0,8273,1353.0,253536,208663.0,44873.0,141,23.0
CT,6,2020,1348657,1289259.0,59398.0,4313,-32.0,125398,99891.0,25507.0,378,9.0
CT,6,2021,10455874,9569058.0,886816.0,1846,384.0,247888,203759.0,44129.0,40,11.0
CT,7,2020,1483675,1422298.0,61377.0,3296,-24.0,135762,108602.0,27160.0,110,12.0
CT,7,2021,8762205,8012906.0,749299.0,2685,635.0,207023,170280.0,36743.0,8,-3.0
CT,8,2020,1585462,1522739.0,62723.0,3069,170.0,138000,110594.0,27406.0,33,4.0
CT,9,2020,1651324,1583280.0,68044.0,4671,295.0,134566,107831.0,26735.0,43,13.0
CT,10,2020,1961272,1879555.0,81717.0,13657,1267.0,141104,113160.0,27944.0,108,10.0
CT,11,2020,2784189,2601596.0,182593.0,46088,4116.0,143362,115206.0,28156.0,404,87.0
CT,12,2020,4793649,4503811.0,289838.0,68413,3225.0,170624,137803.0,32821.0,975,146.0
DC,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
DC,1,2021,1030286,0.0,0.0,7889,0.0,26230,0.0,0.0,127,0.0
DC,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
DC,2,2021,1088237,0.0,0.0,3726,0.0,27279,0.0,0.0,104,0.0
DC,3,2020,3342,0.0,0.0,495,0.0,50,0.0,0.0,9,0.0
DC,3,2021,1321799,0.0,0.0,3915,0.0,32315,0.0,0.0,47,0.0
DC,4,2020,70950,0.0,0.0,3828,0.0,2651,0.0,0.0,215,0.0
DC,4,2021,1388929,0.0,0.0,3184,0.0,32644,0.0,0.0,41,0.0
DC,5,2020,215106,0.0,0.0,4478,0.0,11296,0.0,0.0,242,0.0
DC,5,2021,1502384,0.0,0.0,1234,0.0,34700,0.0,0.0,27,0.0
DC,6,2020,291828,0.0,0.0,1526,0.0,15437,0.0,0.0,85,0.0
DC,6,2021,1475989,0.0,0.0,382,0.0,34159,0.0,0.0,9,0.0
DC,7,2020,345436,0.0,0.0,1799,0.0,17731,0.0,0.0,34,0.0
DC,7,2021,1240311,0.0,0.0,618,0.0,28600,0.0,0.0,5,0.0
DC,8,2020,407849,0.0,0.0,1866,0.0,18495,0.0,0.0,22,0.0
DC,9,2020,441301,0.0,0.0,1334,0.0,18516,0.0,0.0,20,0.0
DC,10,2020,503721,0.0,0.0,1940,0.0,19785,0.0,0.0,19,0.0
DC,11,2020,575263,0.0,0.0,4286,0.0,19873,0.0,0.0,34,0.0
DC,12,2020,790037,0.0,0.0,7431,0.0,22570,0.0,0.0,106,0.0
DE,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
DE,1,2021,2190216,2093104.0,97112.0,20976,1424.0,31184,27923.0,3261.0,160,6.0
DE,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
DE,2,2021,2368915,2249033.0,119882.0,8888,826.0,35950,32488.0,3462.0,332,28.0
DE,3,2020,2403,2394.0,9.0,414,2.0,32,0.0,0.0,10,0.0
DE,3,2021,2856306,2699369.0,156937.0,7193,970.0,46638,42392.0,4246.0,137,3.0
DE,4,2020,73665,72402.0,1263.0,4632,142.0,1895,1192.0,83.0,142,9.0
DE,4,2021,3030181,2838193.0,191988.0,9353,1411.0,47762,43561.0,4201.0,66,2.0
